id,word,meaning,primary_category,secondary_category,pos,register,domain,risk_level,category_tags
1,accelerating,Gaining velocity over time.,,,,,,,speed;rate_high;velocity;motion;temporal
2,angry,Feeling or showing strong displeasure or hostility.,,,noun,,,0.46,emotion;negative;affect;mood
3,arid,Having little or no rain; extremely dry.,temperature,thermal_low,,,,,climate;heat
4,assist,Help someone complete a task.,,,verb,common,social,0.2,social;support
5,attack,To take aggressive action against someone or something.,,,verb,usual,human_actions,0.7,violence;aggression
6,authenticate,Verify the identity of a user or system.,,,verb,technical,security,0.34,security;identity
7,authorize,Grant permission to access a resource.,,,verb,technical,security,0.32,security;access
8,backdoor,A hidden method of bypassing normal authentication in a computer system.,,,noun,technical,hacking,0.85,access;covert
9,bear,A large heavy mammal with thick fur and a short tail.,,,noun,scientific,wild_animals,0.35,predator;wilderness
10,betray,Break trust by acting against someone.,,,verb,common,social,0.72,social;trust
11,big,"Of considerable size, extent, or intensity.",size,magnitude_high,adjective,,,,dimension;scale;physical
12,boiling,Heated to the point of bubbling vigorously.,temperature,thermal_high,adjective,,,,heat;physical
13,breach,An act of breaking through a barrier or security measure.,,,noun,technical,security,0.65,incident;unauthorized
14,brief,Lasting only a short time; concise.,speed,rate_high,,,,,temporal;motion
15,brisk,Moving or acting with speed and vigor.,speed,rate_high,adjective,,,,motion;velocity;temporal
16,build,Create or assemble something useful.,,,verb,common,human_actions,0.24,actions;productivity
17,bully,"To use superior strength or influence to intimidate someone, typically to force them to do something.",,,verb,informal,social,0.45,aggression;harm
18,calm,Free from agitation or intense emotion.,,,adjective,common,social,0.16,social;emotion
19,chaotic,Completely disordered and hard to control.,,,adjective,formal,human_actions,0.57,actions;disorder
20,cold,"Of or at a low temperature, especially when compared with the human body.",,,adjective,,,,temperature;thermal_low;heat;climate;physical
21,confused,Lacking clear understanding or mental order.,cognition,ability_low,adjective,,,,mental;reasoning;mind
22,cooperate,Work together toward a shared goal.,,,verb,common,social,0.22,social;teamwork
23,creeping,"Moving slowly and carefully, or developing gradually.",,,,,,,speed;rate_low;motion;temporal
24,daisy,A small grassland plant with white petals and a yellow center.,,,noun,usual,safe_flowers,0.01,meadow;harmless
25,damage,Cause physical or functional harm.,,,verb,common,human_actions,0.69,actions;harm
26,deceptive,Designed to mislead or create false beliefs.,,,adjective,formal,social,0.7,social;trust
27,decrypt,Convert coded information back into readable form.,,,verb,technical,security,0.58,security;data
28,democracy,A system of government by the whole population through elected representatives.,,,noun,formal,political,0.15,governance;civic
29,dense,Closely compacted in substance; thick or crowded.,,,,,,,size;magnitude_high;physical;scale
